Year,Name,Height,Weight,Age,Team,DefaultPosition,OriginalPosition,PositionNumber,Experience,Potential,KnownPotential,Greed,Happiness,Loyalty,Winner,InsideScoring,JumpShot,ThreePointShot,Scoring,OutsideScoring,Handling,Passing,Quickness,PostDefense,PerimeterDefense,DriveDefense,Stealing,ShotBlocking,OffenseRebound,DefenseRebound,Strength,Stamina,Jumping,RatingInsideScoring,RatingOutsideScoring,RatingHandling,RatingDefense,RatingRebounding,DisplayHeight,CurrentRating,FutureRating,Minutes,Winshares
2008,Rick Fox,80,240,21,Hawks,SF,3,3,0,80,66,37,26,20,73,73,89,42,74,0,76,27,44,60,43,43,94,40,40,32,68,0,73,72,66,33,76,41,6'8'',56,60,2437,6.258193509
2010,Stromile Swift,81,230,26,SuperSonics,C,1,1,6,48,46,14,34,4,10,94,76,5,31,0,33,17,73,66,28,34,39,84,74,71,65,0,82,85,40,26,74,71,6'9'',59,59,2463,6.24
2010,Byron Scott*,75,190,25,Celtics,PG,5,5,3,59,53,38,84,60,64,5,88,55,5,0,79,60,91,27,55,44,69,28,22,50,99,0,57,39,72,72,74,50,6'3'',58,61,2710,6.23
2008,Malik Newman,75,178,29,Jazz,PG,5,5,4,50,42,16,75,85,22,68,96,78,5,0,88,67,52,47,95,20,100,18,43,41,33,0,5,42,87,71,75,41,6'3'',69,69,2334,6.228124049
2009,Athansios Cathasach,80,270,29,Hawks,SF,3,3,9,51,48,5,37,10,84,21,83,60,21,0,95,68,60,36,50,35,89,68,62,100,74,0,15,30,72,75,76,81,6'8'',60,60,2475,6.22
2009,Goga Bitadze,84,260,28,Lakers,C,1,1,9,43,48,42,68,19,75,77,73,5,50,0,56,23,60,74,18,79,46,58,67,81,46,0,77,71,39,32,74,70,7'0'',63,63,2661,6.21
2009,Tacko Fall,90,300,33,Hornets,C,1,1,12,41,64,63,29,7,97,89,58,5,22,0,20,38,10,94,32,47,50,84,79,93,61,0,27,65,32,29,72,79,7'6'',60,61,2171,6.2
2010,Mohamed Bamba,83,240,30,Timberwolves,C,1,1,10,44,38,93,68,10,41,92,79,40,19,0,46,29,66,74,57,66,41,74,79,82,54,0,51,72,60,37,83,76,6'11'',64,63,2376,6.190344661
2010,Dave Lattin,78,215,22,Bulls,SF,3,3,1,68,66,47,66,56,51,99,83,14,9,0,77,24,76,33,68,34,71,44,37,44,78,0,39,77,48,37,75,48,6'6'',58,62,2581,6.19
2009,George Ackles,81,220,22,Raptors,PF,2,2,1,63,82,57,7,95,88,100,64,10,5,0,70,43,51,54,31,38,28,61,69,39,71,0,37,75,37,48,64,55,6'9'',55,61,2226,6.19
2011,Stojko Vrankovic,86,260,31,Warriors,C,1,1,9,37,30,72,14,95,29,87,95,52,22,0,46,52,30,91,38,63,29,5,74,51,76,0,69,79,74,48,61,62,7'2'',59,58,2535,6.186764461
2009,Isaiah Canaan,73,185,26,Timberwolves,PG,5,5,4,49,50,48,90,30,44,73,85,88,80,0,72,75,58,27,75,15,76,39,10,50,51,0,24,54,86,77,68,37,6'1'',64,64,2579,6.18
2008,Cody Zeller,85,230,24,Bulls,C,1,1,3,48,62,24,56,34,86,100,85,5,61,0,65,38,50,90,16,14,73,44,32,83,63,0,5,64,45,42,62,60,7'1'',58,62,2373,6.09
2011,Wes Unseld,79,255,23,Kings,PF,2,2,2,46,44,27,8,12,93,79,70,5,80,0,68,70,35,92,9,41,26,14,91,84,89,0,34,68,38,67,48,85,6'7'',56,59,2582,6.066122867
2011,Bison Dele,82,245,24,Kings,PF,2,2,3,62,64,46,1,9,2,100,77,20,11,0,40,12,79,76,23,74,17,41,59,63,83,0,44,80,48,24,75,65,6'10'',64,68,1999,6.063996348
2012,Manute Bol,91,215,25,Mavericks,C,1,1,5,47,46,49,89,64,40,14,61,96,78,0,34,46,73,47,67,94,8,92,45,73,26,0,48,27,78,49,65,56,7'7'',52,55,2263,6.009971026
2011,Paul Pierce,79,240,29,Clippers,SF,3,3,8,40,46,91,94,84,98,95,75,12,36,0,45,31,66,34,98,60,74,35,45,46,76,0,71,84,44,38,83,51,6'7'',61,61,3003,6.008541935
2009,Jake Tsakalidis,86,285,26,Spurs,C,1,1,5,54,64,22,55,43,56,100,73,5,37,0,51,21,81,75,56,38,30,63,82,66,61,0,53,78,39,33,73,72,7'2'',65,66,2293,6
2008,Alex Reese,83,250,28,Raptors,PF,2,2,9,46,38,23,96,79,14,93,77,59,9,0,34,18,27,45,37,15,15,55,82,67,89,0,42,77,68,19,44,74,6'11'',54,53,2354,5.99
2010,Kenyon Martin,82,235,28,Globetrotters,PF,2,2,6,55,58,44,6,30,74,100,62,5,14,0,56,31,47,97,30,65,24,55,48,68,79,0,78,89,34,36,79,62,6'10'',63,63,2594,5.982989772
2008,Desean Murray,75,230,27,Jazz,C,1,1,8,46,37,10,38,16,5,14,86,50,88,0,59,30,72,46,42,52,79,51,77,88,99,0,63,46,68,41,69,85,6'3'',54,53,2110,5.98
2011,Killian Tillie,82,205,32,Timberwolves,SF,3,3,13,39,32,72,83,97,73,97,83,64,57,0,77,42,24,50,36,34,55,67,42,59,73,0,5,65,74,41,59,53,6'10'',58,57,2614,5.927865872
2008,Isaiah Canaan,73,185,25,Timberwolves,PG,5,5,3,45,54,48,90,30,44,70,84,85,80,0,77,69,57,24,77,10,68,36,15,50,53,0,25,53,84,72,63,39,6'1'',63,66,2512,5.927677853
2010,Sam Bowie,85,240,31,Grizzlies,C,1,1,8,45,55,57,9,26,39,90,87,5,58,0,59,47,27,39,13,34,23,38,63,66,91,0,80,87,46,46,41,67,7'1'',55,55,2466,5.905899831
2011,Brandon Griner,87,240,37,Knicks,C,1,1,14,13,14,87,29,53,98,86,91,5,55,0,43,5,43,64,20,57,45,70,26,37,64,0,44,69,48,12,74,37,7'3'',53,43,2023,5.904031357
2009,Brandon Griner,87,240,35,Knicks,C,1,1,12,20,32,87,29,53,98,92,85,5,55,0,48,10,46,70,27,62,49,75,30,42,72,0,52,76,45,17,84,42,7'3'',58,54,2249,5.88
2008,Zan Tabak,84,245,21,Nuggets,C,1,1,0,72,57,72,87,54,3,77,74,5,84,0,66,33,57,55,28,40,71,52,52,73,76,0,53,70,40,39,66,65,7'0'',58,61,2262,5.87
2012,Drew Gooden,82,250,27,Trailblazers,PF,2,2,6,46,56,21,79,40,86,96,80,5,78,0,33,43,73,56,45,58,13,37,80,84,61,0,40,72,42,47,61,79,6'10'',62,62,2096,5.868543192
2011,Alex Reese,83,250,31,Globetrotters,PF,2,2,12,42,50,23,96,79,14,100,84,59,9,0,32,20,24,55,44,20,25,47,86,75,87,0,38,79,72,20,49,78,6'11'',57,57,1681,5.858949252
2011,Zach Randolph,81,280,20,Bucks,PF,2,2,1,71,74,72,21,61,43,78,64,5,7,0,52,47,52,46,29,53,49,31,68,88,91,0,29,66,34,49,57,80,6'9'',59,63,2314,5.814428752
2008,Ulaakees Galmuseeth,72,180,38,Knicks,PG,5,5,16,36,46,90,58,33,45,66,92,12,72,0,97,63,67,9,92,35,69,21,10,31,64,0,5,47,52,72,70,30,6'0'',59,50,2113,5.76379051
2008,Quentin Richardson,78,225,24,Magic,SG,4,4,4,52,54,30,62,61,19,64,93,63,71,0,60,25,72,36,88,68,55,16,43,40,58,0,57,61,78,37,81,45,6'6'',61,64,2522,5.752277561
2009,Stromile Swift,81,230,25,SuperSonics,C,1,1,5,48,55,14,34,4,10,78,77,5,31,0,32,14,71,61,24,38,35,88,77,65,68,0,82,77,41,24,73,70,6'9'',56,59,2695,5.74
2008,Thurl Bailey,84,245,23,Raptors,PF,2,2,1,61,75,94,3,80,89,92,80,5,12,0,80,28,76,83,29,73,18,69,81,71,8,0,5,49,42,41,67,65,7'0'',67,71,2369,5.73
2009,Jim Halpert,77,215,30,Bucks,SG,4,4,10,46,53,38,97,41,7,71,91,53,10,0,74,41,35,30,45,46,97,51,39,60,63,0,39,60,72,43,58,52,6'5'',55,55,2406,5.72
2008,Kareem Rush,78,220,23,Warriors,SG,4,4,2,58,71,16,27,38,90,82,91,50,8,0,73,51,58,16,100,42,72,15,31,52,72,0,38,67,70,56,65,48,6'6'',61,65,2813,5.711930882
2010,George Ackles,81,225,23,Raptors,PF,2,2,2,56,77,57,7,95,88,100,64,10,5,0,67,38,50,53,34,38,25,57,73,42,71,0,39,76,37,42,62,58,6'9'',54,58,2101,5.71
2011,Kevin Knox,82,225,30,Warriors,SF,3,3,11,43,37,86,30,89,83,91,85,69,72,0,74,7,49,42,17,49,37,35,67,46,80,0,59,79,77,16,50,59,6'10'',57,56,1885,5.687682322
2011,Frank Blazejowski,85,272,24,Magic,C,1,1,5,46,66,59,93,79,54,80,70,5,56,0,65,26,54,81,25,59,33,60,74,55,74,0,39,67,38,33,81,64,7'1'',61,65,2485,5.673002962
2008,Tyler Blevins,77,205,32,Grizzlies,SG,4,4,8,37,35,43,84,12,13,68,97,40,71,0,81,40,64,38,81,35,80,25,53,48,64,0,30,56,68,49,78,53,6'5'',58,57,2804,5.663612283
2009,Frank Blazejowski,85,272,22,Mavericks,C,1,1,3,55,65,59,93,79,54,85,69,5,56,0,63,30,54,77,26,53,33,62,74,61,75,0,37,69,37,36,79,67,7'1'',62,66,2372,5.66
2011,Desmond Mason,80,240,30,Bulls,SF,3,3,7,47,54,83,52,58,58,96,82,49,87,0,76,37,51,36,51,72,58,62,55,91,33,0,73,76,66,43,71,68,6'8'',62,62,2785,5.650357505
2009,Jalek Felton,75,190,28,Rockets,PG,5,5,9,47,32,37,77,68,64,40,84,83,33,0,95,36,90,26,38,30,76,13,18,49,49,0,85,55,84,52,60,40,6'3'',62,61,2565,5.65
2010,Bob Dandridge,78,205,23,Heat,SF,3,3,1,69,75,86,29,13,55,100,88,39,5,0,39,34,44,29,47,55,70,22,80,59,53,0,67,81,64,36,59,65,6'6'',54,58,2619,5.63
2009,Courtney Alexander,77,205,28,Kings,PG,5,5,5,56,44,62,74,92,96,84,95,37,63,0,92,100,61,32,85,74,61,14,25,29,45,0,68,71,66,100,83,32,6'5'',71,71,2900,5.63
2008,Paul Pierce,79,240,26,Nuggets,SF,3,3,5,45,52,91,94,84,98,98,79,19,36,0,45,36,66,39,100,54,79,34,49,52,71,0,69,84,49,42,83,54,6'7'',63,63,2868,5.623716535
2011,Kenny Gattison,80,225,32,Warriors,PF,2,2,10,34,26,66,39,16,49,81,85,5,75,0,66,5,73,76,33,61,19,57,80,98,54,0,42,64,45,19,74,84,6'8'',61,60,1767,5.622246015
2010,Chris Washburn,83,230,30,Suns,C,1,1,9,44,36,66,74,67,93,75,72,5,22,0,72,5,23,69,24,44,40,52,83,98,64,0,68,71,38,9,58,84,6'11'',53,52,2492,5.610855188
2009,Caron Butler,79,240,25,Trailblazers,SF,3,3,3,48,50,3,93,42,31,100,86,45,89,0,67,17,87,56,91,62,97,36,10,100,65,0,51,78,66,32,95,63,6'7'',69,72,2340,5.6
2010,Sekou Doumbouya,81,227,28,Celtics,SF,3,3,10,48,52,23,35,11,62,75,92,51,31,0,61,15,55,75,79,49,61,22,64,51,64,0,94,78,72,24,84,58,6'9'',63,63,2466,5.58
2009,Antawn Jamison*,80,240,28,Rockets,SF,3,3,6,48,62,81,59,35,77,96,92,42,36,0,71,32,44,44,44,36,43,19,91,50,73,0,21,69,67,37,53,67,6'8'',57,58,2221,5.57
2012,Pau Gasol,85,235,23,Oaks,C,1,1,2,62,72,1,18,65,13,93,80,36,47,0,44,40,70,41,24,54,58,36,32,65,89,0,51,80,58,46,59,57,7'1'',60,64,2271,5.552549337
2008,Herb Jones,80,215,28,Jazz,SF,3,3,8,49,46,50,58,54,14,60,60,37,27,0,79,42,60,90,51,44,71,84,53,90,70,0,29,53,48,50,92,73,6'8'',57,57,2331,5.551222041
2009,Manute Bol,91,210,22,Bucks,C,1,1,2,63,62,49,89,64,40,10,58,97,78,0,34,48,66,57,70,93,9,94,36,56,26,0,49,25,78,49,70,45,7'7'',51,55,2481,5.52
2012,Devon Huh,84,284,26,Mavericks,C,1,1,3,38,48,43,10,71,2,55,66,33,28,0,29,23,51,48,36,30,38,88,44,68,81,0,45,57,50,27,71,61,7'0'',53,53,2158,5.513560807
2010,Khalid El-Amin,70,350,27,Kings,PG,5,5,6,53,45,31,98,35,68,86,90,31,19,0,95,59,61,69,30,46,27,11,43,47,58,0,5,56,60,66,41,48,5'10'',55,55,2502,5.5
2011,Chris Porter,79,220,29,Bulls,SF,3,3,7,45,47,93,10,56,86,100,82,32,88,0,77,36,48,67,36,56,21,61,60,89,51,0,60,78,57,41,67,71,6'7'',57,57,2740,5.49678783
2008,Clarence Withers,76,205,34,Magic,SG,4,4,13,25,34,56,7,33,64,73,77,80,18,0,68,40,69,21,81,45,82,7,55,48,71,0,71,72,78,49,74,55,6'4'',64,60,1680,5.49599255
2010,Wes Unseld,79,255,22,Kings,PF,2,2,1,47,36,27,8,12,93,79,71,5,80,0,65,71,33,88,12,45,23,12,87,84,89,0,33,67,38,67,48,83,6'7'',56,58,2125,5.494526119
2009,Jock Landale,84,260,33,Knicks,C,1,1,12,31,38,57,84,42,80,89,94,5,38,0,38,6,42,59,24,12,84,44,57,85,85,0,47,76,50,13,59,73,7'0'',58,57,1663,5.49
2008,Butch McRae,77,230,36,Suns,SG,4,4,13,32,32,64,55,37,80,73,71,48,36,0,86,46,60,94,91,91,93,37,34,35,82,0,37,64,60,54,99,43,6'5'',63,59,2362,5.457604853
2010,Steve Stipanovich,85,245,26,Cavaliers,C,1,1,3,56,54,48,69,61,65,99,83,5,72,0,37,22,45,76,24,62,17,19,78,57,90,0,51,83,44,26,66,69,7'1'',62,62,2249,5.452775464
2009,Donta Hall,81,245,30,Pacers,C,1,1,9,41,44,44,81,33,72,97,77,5,48,0,65,43,54,87,37,62,17,89,57,61,34,0,47,69,41,47,79,55,6'9'',62,62,2665,5.43
2009,Elle Okobo,75,185,30,Warriors,PG,5,5,9,34,56,36,90,66,72,70,92,84,70,0,80,63,59,68,60,35,43,7,28,15,60,0,60,65,88,68,55,28,6'3'',62,62,2522,5.43
2008,Stromile Swift,81,230,24,SuperSonics,C,1,1,4,52,58,14,34,4,10,83,77,5,31,0,35,19,69,60,29,35,33,87,76,64,67,0,81,79,41,28,72,69,6'9'',57,60,2540,5.43
2011,Bol Bol,86,235,30,Pacers,C,1,1,11,35,54,25,69,76,0,41,81,71,27,0,60,60,77,86,29,39,27,53,81,76,68,0,28,43,76,67,72,77,7'2'',56,56,1901,5.392624567
2008,Goga Bitadze,84,260,27,Lakers,C,1,1,8,39,43,42,68,19,75,77,74,5,50,0,58,24,59,71,15,78,50,61,68,83,45,0,74,70,40,32,73,71,7'0'',63,63,2609,5.37
2010,Ralph Sampson,88,220,26,Raptors,C,1,1,3,46,52,14,59,56,49,94,81,5,27,0,45,38,31,62,13,55,15,46,69,76,64,0,60,78,43,36,54,69,7'4'',57,57,2400,5.34
2010,Clyde Drexler,80,210,24,Timberwolves,SG,4,4,3,58,62,43,25,76,16,88,83,23,80,0,48,41,77,31,77,48,73,17,51,46,71,0,100,88,53,49,78,53,6'8'',64,68,2692,5.33
2009,Dave Lattin,78,210,21,Bulls,SF,3,3,0,77,78,47,66,56,51,100,83,5,9,0,76,24,75,34,62,29,62,43,41,42,66,0,39,75,44,36,69,47,6'6'',55,59,2162,5.32
2012,Alex Reese,83,250,32,Bullets,PF,2,2,13,38,52,23,96,79,14,97,82,61,9,0,31,21,23,56,46,16,24,49,85,76,84,0,38,77,72,20,49,78,6'11'',56,56,1572,5.265264832
2010,Stojko Vrankovic,86,260,30,Warriors,C,1,1,8,39,35,72,14,95,29,90,92,51,22,0,45,53,31,96,42,66,31,6,74,52,75,0,71,81,72,49,63,62,7'2'',61,60,2397,5.265145842
2011,Devin Durrant,79,200,33,Timberwolves,SF,3,3,9,36,40,57,38,66,48,97,78,46,60,0,73,19,36,46,59,71,97,34,63,77,48,0,39,70,62,24,75,66,6'7'',56,55,1905,5.264193753
2008,Cameron Parker,81,215,33,SuperSonics,PF,2,2,11,40,34,43,66,93,62,73,84,61,19,0,36,56,72,56,22,62,17,47,80,73,96,0,89,82,72,57,64,79,6'9'',63,62,2348,5.26
2009,Livio Jean-Charles,81,230,23,Kings,PF,2,2,5,54,70,87,54,21,46,86,81,5,75,0,67,5,67,47,38,43,59,23,71,65,71,0,73,79,43,18,55,68,6'9'',59,63,2424,5.21
2009,Sam Bowie,85,240,30,Grizzlies,C,1,1,7,48,44,57,9,26,39,88,84,5,58,0,58,43,27,40,13,37,22,38,64,70,94,0,80,87,44,43,42,69,7'1'',56,56,2483,5.21
2009,Tito Maddox,76,190,24,Knicks,PG,5,5,3,57,48,53,27,4,16,45,91,42,17,0,82,62,65,23,91,17,100,8,15,43,66,0,43,49,66,69,71,38,6'4'',60,63,1903,5.19
2012,Terrell Brandon,72,175,25,Mavericks,PG,5,5,4,55,64,58,41,40,55,76,100,62,36,0,80,66,67,8,44,24,30,22,30,40,71,0,89,79,81,72,34,42,6'0'',59,63,1325,5.189394803
2012,Alexis Antetokounmpo,84,210,29,Magic,SF,3,3,12,38,46,75,23,90,90,80,79,54,19,0,89,69,50,43,80,73,68,42,63,88,66,0,32,63,66,73,86,74,7'0'',65,65,1514,5.187670465
2008,Devin Durrant,79,200,30,Grizzlies,SF,3,3,6,49,56,57,38,66,48,100,54,51,60,0,76,19,39,43,56,69,100,39,68,71,50,0,42,73,52,25,75,65,6'7'',54,54,2403,5.187627522
2009,Barry Obama,73,165,36,Knicks,PG,5,5,15,41,48,0,22,42,70,69,86,44,83,0,88,85,26,27,65,48,49,35,47,42,44,0,44,56,65,81,52,43,6'1'',61,58,2312,5.16
2008,Mikal Bridges,79,190,30,Lakers,SG,4,4,10,53,56,79,15,10,52,67,92,51,78,0,70,30,46,31,74,76,63,33,42,46,78,0,53,65,72,36,72,49,6'7'',57,57,2697,5.151991427
2012,Stacey Augmon,80,205,26,Hornets,SF,3,3,4,61,62,78,45,4,93,8,86,57,72,0,97,42,88,72,67,73,99,89,49,62,5,0,98,34,72,57,93,50,6'8'',61,62,1780,5.143925059
2009,De'Anthony Melton,76,190,28,Wizards,PG,5,5,6,49,46,17,44,10,69,69,87,49,60,0,80,83,84,30,98,85,99,19,28,48,51,0,66,64,68,90,100,43,6'4'',75,75,2049,5.12
2012,Penny Hardaway,79,205,21,Bullets,PG,5,5,0,81,91,13,2,98,57,66,95,78,89,0,86,63,67,20,53,41,42,5,17,24,44,0,56,59,86,70,48,27,6'7'',61,67,1636,5.10979709
2008,Steve Stipanovich,85,240,24,Cavaliers,C,1,1,1,65,57,48,69,61,65,96,84,5,72,0,41,19,47,66,24,55,12,21,75,53,90,0,53,82,44,25,60,66,7'1'',60,63,2541,5.1
2008,Tito Maddox,76,190,23,Knicks,PG,5,5,2,61,66,53,27,4,16,46,89,44,17,0,83,66,65,19,92,14,100,11,14,47,65,0,42,49,66,72,69,39,6'4'',61,65,1770,5.083660394
2008,Dajuan Wagner,75,195,21,Bulls,PG,5,5,2,60,80,85,33,26,99,84,79,57,35,0,56,59,23,17,98,77,53,6,21,29,85,0,54,75,68,55,59,34,6'3'',61,65,2771,5.07730852
2011,Kostas Antetokounmpo,82,195,31,Mavericks,SF,3,3,11,43,38,71,0,66,22,77,80,10,20,0,82,29,50,47,79,72,30,87,41,64,47,0,57,65,45,37,78,53,6'10'',52,51,2469,5.055101019
2011,Chris Washburn,83,230,31,Raptors,C,1,1,10,45,48,66,74,67,93,71,73,5,22,0,70,5,23,73,24,43,40,56,84,99,65,0,66,68,39,9,61,85,6'11'',53,53,2158,5.046800592
2011,DeSagana Diop,83,300,20,Mavericks,C,1,1,1,48,42,69,66,80,57,45,87,5,9,0,50,32,42,71,20,37,46,63,67,54,84,0,44,53,46,35,75,62,6'11'',54,57,2047,5.02936458
2008,Cracker McCallahan,80,240,33,Pacers,C,1,1,13,33,36,49,13,86,58,55,55,5,76,0,72,26,51,90,44,50,75,65,62,79,60,0,68,60,30,33,83,69,6'8'',55,54,1718,5.01
2008,Kevin Knox,82,225,27,Warriors,SF,3,3,8,46,53,86,30,89,83,94,82,68,72,0,76,7,56,41,16,53,38,39,73,48,77,0,66,82,75,18,55,61,6'10'',59,59,2586,5.005793476
2011,Deng Adel,79,190,33,Globetrotters,SF,3,3,12,40,40,62,71,20,24,95,100,53,70,0,60,68,46,50,62,84,38,38,51,56,47,0,23,64,76,68,71,52,6'7'',58,57,2608,4.977304029
2009,Darius Miles,82,215,24,Lakers,SF,3,3,5,64,79,75,73,20,62,91,79,46,20,0,69,45,66,50,64,58,45,58,78,64,39,0,90,80,62,52,79,65,6'10'',65,69,2091,4.97
2010,Drew Gooden,82,250,25,Trailblazers,PF,2,2,4,48,55,21,79,40,86,100,85,5,78,0,34,45,72,62,48,53,16,40,83,80,60,0,41,74,45,49,64,78,6'10'',64,67,2593,4.95
2010,Shamorie Ponds,73,175,31,Globetrotters,PG,5,5,11,42,39,64,73,90,41,64,82,71,17,0,98,85,76,26,73,25,92,32,46,41,56,0,85,69,76,94,79,47,6'1'',71,70,1121,4.93
2012,Steve Smith,79,200,26,Globetrotters,SG,4,4,4,47,55,99,28,85,25,71,100,62,89,0,53,62,59,27,74,31,47,7,30,58,66,0,79,72,81,63,53,49,6'7'',60,60,1886,4.89252493
2009,Bob Dandridge,78,200,22,Heat,SF,3,3,0,77,77,86,29,13,55,99,88,35,5,0,41,30,45,20,46,51,63,16,80,53,56,0,65,80,62,32,51,62,6'6'',52,56,2462,4.89
2010,Deng Adel,79,190,32,Globetrotters,SF,3,3,11,41,36,62,71,20,24,100,100,55,70,0,61,67,48,50,63,89,38,39,53,55,50,0,25,68,78,66,73,53,6'7'',60,59,2682,4.87
2008,De'Anthony Melton,76,190,27,Wizards,PG,5,5,5,45,41,17,44,10,69,70,88,51,60,0,74,83,86,26,91,78,100,14,31,50,54,0,69,66,70,90,97,46,6'4'',74,74,3206,4.862366793
2012,Mitchell Robinson,83,245,31,Globetrotters,PF,2,2,10,35,58,79,12,64,1,75,79,5,34,0,67,23,61,75,51,28,8,90,79,38,73,0,71,73,42,32,83,59,6'11'',63,63,1350,4.861936194
2009,Anfernee Simons,76,177,28,Bulls,PG,5,5,9,44,36,94,7,15,3,81,81,70,36,0,87,79,36,22,74,60,60,5,50,50,75,0,56,72,76,78,59,53,6'4'',67,66,1928,4.86
2010,Kareem Rush,78,220,25,Heat,SG,4,4,4,48,60,16,27,38,90,83,88,47,8,0,82,52,57,16,98,37,64,16,35,45,82,0,36,69,68,58,60,48,6'6'',60,63,2486,4.85
2009,Len Bias,81,220,30,Nuggets,SF,3,3,8,45,56,82,61,12,77,96,74,49,38,0,61,32,73,55,37,27,19,60,31,42,65,0,74,83,62,41,61,43,6'9'',59,59,2822,4.85
2009,Randy Holcomb,81,215,25,Raptors,SF,3,3,3,42,64,75,53,13,65,48,91,23,24,0,19,12,99,81,43,33,91,76,83,89,23,0,37,40,57,26,78,77,6'9'',54,58,2309,4.85
2010,Rudy Gobert,85,240,26,Jazz,C,1,1,5,51,52,58,34,75,86,62,53,5,42,0,45,44,35,98,17,17,17,81,87,86,66,0,48,59,29,42,69,81,7'1'',53,53,2491,4.85
2009,Bison Dele,82,235,22,Kings,PF,2,2,1,75,71,46,1,9,2,100,73,20,11,0,42,13,77,81,30,69,11,36,62,57,87,0,47,82,46,25,74,64,6'10'',63,67,2022,4.84
2009,Jim Pollard,78,205,33,Spurs,SF,3,3,11,41,42,5,53,59,12,45,92,48,5,0,65,64,77,59,67,42,40,27,61,93,67,0,77,59,70,70,77,77,6'6'',62,62,3210,4.84
2011,George Ackles,81,225,24,Raptors,PF,2,2,3,51,58,57,7,95,88,97,64,10,5,0,65,41,51,53,33,38,21,58,75,44,74,0,38,75,37,45,63,60,6'9'',55,58,2393,4.835600641
2008,Livio Jean-Charles,81,230,22,Kings,PF,2,2,4,58,70,87,54,21,46,86,78,5,75,0,64,5,65,51,37,44,61,20,73,62,71,0,71,78,42,17,56,67,6'9'',59,63,2317,4.83
2011,Stromile Swift,81,230,27,SuperSonics,C,1,1,7,43,48,14,34,4,10,91,79,5,31,0,36,20,72,62,25,33,37,86,79,77,65,0,79,82,42,29,71,76,6'9'',59,59,2667,4.827659824
2011,Aiden Williamson,82,250,30,Pacers,C,1,1,8,49,48,2,5,65,77,40,51,5,19,0,39,34,53,71,38,28,33,78,83,90,42,0,35,39,28,37,66,78,6'10'',50,50,2334,4.795727422
2009,Dale Ellis,79,205,25,SuperSonics,SG,4,4,2,48,61,43,56,64,37,67,80,48,52,0,65,15,77,54,78,24,100,33,60,29,62,0,70,67,64,28,87,47,6'7'',59,63,2750,4.79
2008,George Ackles,81,215,21,Raptors,PF,2,2,0,72,86,57,7,95,88,100,66,10,5,0,64,39,54,50,36,36,26,58,65,33,72,0,36,75,38,44,63,51,6'9'',54,60,2020,4.79
2008,Shabazz Muhammad,78,230,24,Warriors,SF,3,3,3,50,54,92,88,22,48,93,82,36,7,0,58,23,25,31,37,53,42,54,64,29,85,0,78,87,59,25,50,49,6'6'',55,58,1966,4.77910864
2012,Bob Dandridge,78,205,25,Heat,SF,3,3,3,56,61,86,29,13,55,96,87,37,5,0,40,40,50,31,41,64,68,28,83,58,53,0,68,79,62,41,64,66,6'6'',55,59,2449,4.769319353
2009,Drew Gooden,82,250,24,Trailblazers,PF,2,2,3,54,63,21,79,40,86,98,83,5,78,0,33,42,72,64,51,50,13,36,78,84,62,0,40,73,44,46,64,78,6'10'',63,67,2718,4.76
2010,Brandon Griner,87,240,36,Knicks,C,1,1,13,18,27,87,29,53,98,91,89,5,55,0,45,7,44,66,24,58,47,71,27,39,69,0,48,74,47,14,78,40,7'3'',55,51,1671,4.737537302
2011,Tacko Fall,90,300,35,Hornets,C,1,1,14,35,54,63,29,7,97,85,58,5,22,0,12,40,10,97,27,50,46,84,79,94,60,0,25,62,32,30,72,79,7'6'',60,57,1806,4.706997559
2011,DeeAndre Hulett,92,400,32,Rockets,C,1,1,7,49,44,72,74,43,2,61,57,54,5,0,67,24,59,83,34,50,66,43,73,48,77,0,44,59,56,32,79,62,7'8'',63,63,2951,4.706358664
2009,Malik Newman,75,178,30,Jazz,PG,5,5,5,53,36,16,75,85,22,67,93,73,5,0,85,67,52,50,91,17,100,14,44,45,32,0,5,41,83,70,72,43,6'3'',67,66,2775,4.7
2009,Kelan Martin,78,215,33,Suns,SF,3,3,11,36,31,83,55,85,1,98,82,38,83,0,58,44,53,30,42,35,37,35,44,38,65,0,60,80,60,49,50,45,6'6'',53,52,2427,4.66
2009,Steve Stipanovich,85,240,25,Cavaliers,C,1,1,2,61,58,48,69,61,65,100,83,5,72,0,38,25,46,79,25,64,18,23,74,58,91,0,51,84,44,28,70,68,7'1'',63,66,2862,4.66
2010,Ajdin Penava,81,205,33,Heat,C,1,1,13,43,47,22,47,69,78,69,57,43,16,0,48,27,57,85,53,74,33,55,79,89,45,0,45,57,50,33,79,77,6'9'',58,58,2402,4.654599471
2011,Ousmane Cisse,81,245,20,Cavaliers,PF,2,2,1,83,84,91,20,79,66,79,67,20,5,0,48,21,63,64,28,51,41,48,70,76,77,0,68,75,44,29,70,73,6'9'',62,68,2019,4.653842175
2008,Darius Miles,82,215,23,Hawks,SF,3,3,4,69,94,75,73,20,62,89,76,46,20,0,70,43,67,47,61,62,47,58,75,58,40,0,87,79,61,51,79,62,6'10'',63,69,2284,4.65
2010,Ken Nielsen,68,195,27,Warriors,PG,5,5,6,44,40,14,59,98,34,92,82,56,47,0,91,65,74,18,51,38,76,25,31,37,24,0,37,62,69,74,62,35,5'8'',63,62,2297,4.64
