Year,Name,Height,Weight,Age,Team,DefaultPosition,OriginalPosition,PositionNumber,Experience,Potential,KnownPotential,Greed,Happiness,Loyalty,Winner,InsideScoring,JumpShot,ThreePointShot,Scoring,OutsideScoring,Handling,Passing,Quickness,PostDefense,PerimeterDefense,DriveDefense,Stealing,ShotBlocking,OffenseRebound,DefenseRebound,Strength,Stamina,Jumping,RatingInsideScoring,RatingOutsideScoring,RatingHandling,RatingDefense,RatingRebounding,DisplayHeight,CurrentRating,FutureRating,Minutes,Winshares,WS48
2009,Shareef O'Neal,80,210,27,Hornets,PF,2,2,9,46,66,44,58,23,3,99,72,5,77,0,54,20,33,87,35,77,35,67,58,79,81,0,36,77,38,24,85,70,6'8'',60,61,2365,8.41,0.170689218
2008,Giannis Antetokounmpo,84,220,22,Hornets,SF,3,3,3,73,72,30,83,95,15,100,93,54,88,0,82,63,36,56,64,43,64,60,49,89,61,0,32,72,74,64,79,68,7'0'',66,70,3022,10.73454521,0.170502373
2010,Morris Peterson,79,220,29,Pacers,SF,3,3,6,49,44,38,91,19,52,100,97,32,58,0,78,43,42,41,46,51,73,34,60,82,56,0,40,73,64,47,67,68,6'7'',58,58,2893,10.24,0.169899758
2008,Nick King,79,225,33,Knicks,SF,3,3,11,41,42,75,34,36,75,97,91,38,94,0,85,41,66,20,19,11,11,69,70,73,59,0,54,77,64,50,31,69,6'7'',57,57,2879,10.1808687,0.169740083
2012,Sam Bowie,85,240,33,Pistons,C,1,1,10,37,36,57,9,26,39,87,80,5,58,0,61,40,24,46,10,30,23,35,63,68,79,0,74,82,42,38,39,66,7'1'',52,51,1256,4.440814018,0.169712638
2011,Isaac Bonga,81,210,31,Bucks,SF,3,3,12,44,38,86,15,69,34,100,99,79,86,0,81,98,39,49,66,57,81,50,62,63,53,0,27,69,89,95,81,60,6'9'',68,67,3138,11.0891503,0.169623714
2009,Dolph Schayes,81,220,34,Globetrotters,PF,2,2,12,43,52,15,1,10,24,91,89,55,60,0,63,70,31,60,44,79,47,65,89,85,88,0,62,82,72,65,79,84,6'9'',66,63,2528,8.92,0.169367089
2012,Dave Lattin,78,225,24,Bulls,SF,3,3,3,59,64,47,66,56,51,100,82,26,9,0,78,21,83,29,72,37,67,48,30,50,78,0,43,79,54,35,74,49,6'6'',60,64,2289,8.065711066,0.169136798
2009,Qyntel Woods,81,245,23,Suns,SF,3,3,3,52,52,45,28,20,92,100,94,35,35,0,89,31,77,32,74,35,61,60,35,70,67,0,59,81,64,44,76,58,6'9'',68,71,3189,11.23,0.169031044
2008,Luke Maye,79,227,30,Clippers,SF,3,3,8,49,41,90,74,5,52,83,98,74,87,0,86,78,42,61,57,48,39,44,31,68,84,0,25,66,86,79,72,56,6'7'',65,65,2818,9.906459871,0.168740267
2010,Max Zaslofsky,75,180,33,Bullets,PG,5,5,13,33,22,62,87,37,70,72,96,73,5,0,96,86,68,13,30,53,85,36,11,14,68,0,39,61,84,93,61,24,6'3'',67,66,2695,9.47,0.168667904
2012,Quentin Richardson,78,225,28,Magic,SG,4,4,8,42,48,30,62,61,19,71,100,74,71,0,68,22,66,46,88,79,52,21,52,39,52,0,59,64,87,32,85,47,6'6'',65,65,2877,10.10634973,0.168614803
2010,Skylar Diggins,69,145,26,Jazz,PG,5,5,4,51,58,65,0,16,68,75,95,61,5,0,80,94,48,17,79,55,100,6,17,33,53,0,33,58,78,93,71,31,5'9'',69,69,3166,11.11,0.168439672
2011,Shareef O'Neal,80,210,29,Hornets,PF,2,2,11,44,37,44,58,23,3,96,68,5,77,0,54,17,30,96,37,79,35,73,61,83,78,0,35,74,36,20,87,72,6'8'',60,59,2451,8.591297617,0.168250627
2009,Desmond Mason,80,240,28,Bulls,SF,3,3,5,43,49,83,52,58,58,100,83,50,87,0,78,37,49,34,54,68,62,66,55,91,33,0,80,81,66,42,72,68,6'8'',64,64,2267,7.93,0.16790472
2011,Skylar Diggins,69,145,27,Jazz,PG,5,5,5,45,64,65,0,16,68,81,100,72,5,0,82,100,50,16,78,54,97,5,18,34,54,0,32,61,86,99,71,32,5'9'',72,73,2954,10.30430314,0.167436205
2010,Marcus Taylor,75,195,24,Mavericks,PG,5,5,4,43,44,32,76,80,43,79,91,43,83,0,97,65,49,21,95,6,69,31,11,41,87,0,51,72,67,70,61,38,6'3'',64,67,2831,9.84,0.166838573
2011,Qyntel Woods,81,245,25,Suns,SF,3,3,5,52,48,45,28,20,92,100,94,31,35,0,95,37,75,37,78,37,63,65,33,76,65,0,56,80,62,49,81,59,6'9'',69,72,3106,10.79485673,0.166823285
2009,Luke Maye,79,227,31,Clippers,SF,3,3,9,50,40,90,74,5,52,85,100,76,87,0,89,77,42,61,55,52,35,44,28,66,83,0,24,66,88,78,72,54,6'7'',65,64,2962,10.29,0.166752194
2010,Zan Tabak,84,245,23,Nuggets,C,1,1,2,60,51,72,87,54,3,100,73,5,84,0,68,31,54,63,29,40,77,55,56,84,81,0,51,82,39,37,72,72,7'0'',65,68,2629,9.112865768,0.166381726
2009,Troy Brown,79,220,29,Bucks,SG,4,4,10,52,40,70,58,85,92,95,100,46,71,0,85,93,49,46,92,70,63,31,27,35,54,0,41,71,73,93,81,36,6'7'',67,66,2819,9.77,0.166356864
2009,Max Zaslofsky,75,180,32,Suns,PG,5,5,12,40,32,62,87,37,70,75,97,72,5,0,97,87,73,16,29,54,88,38,14,17,72,0,39,64,84,96,63,27,6'3'',69,68,2979,10.32,0.166283988
2008,Jake Tsakalidis,86,285,25,Spurs,C,1,1,4,59,66,22,55,43,56,99,76,5,37,0,53,20,78,80,52,40,26,60,86,66,64,0,52,78,40,33,75,73,7'2'',65,69,2484,8.59,0.165990338
2011,Earl Monroe,75,185,25,Hawks,PG,5,5,2,69,66,82,48,100,72,73,96,65,34,0,100,89,75,28,56,71,27,15,41,37,36,0,43,57,80,98,60,40,6'3'',69,73,3143,10.86102637,0.165869954
2010,Sarunas Jasikevicius,76,202,30,Hornets,PG,5,5,7,51,56,6,77,29,41,57,80,78,96,0,94,67,67,16,77,44,76,12,15,16,47,0,39,50,79,75,72,23,6'4'',64,64,2167,7.47,0.165463775
2010,Mark Price,72,180,31,SuperSonics,PG,5,5,9,34,48,18,55,37,8,62,99,72,5,0,100,49,89,6,73,71,73,25,15,5,62,0,29,52,86,64,83,21,6'0'',70,70,3107,10.68,0.164995172
2010,Donnell Harvey,80,220,26,Bulls,PF,2,2,6,49,50,72,83,67,7,97,93,7,62,0,76,59,50,100,64,39,43,55,91,89,53,0,22,66,50,62,76,82,6'8'',65,65,1846,6.34,0.164853738
2011,Shamorie Ponds,73,175,32,Globetrotters,PG,5,5,12,39,26,64,73,90,41,63,80,70,17,0,100,81,74,25,69,23,93,28,41,42,57,0,82,67,75,91,75,45,6'1'',69,68,2868,9.837110664,0.164637835
2012,Paul Pierce,79,240,30,Hornets,SF,3,3,9,42,46,91,94,84,98,93,75,19,36,0,50,32,65,33,97,62,81,41,52,44,77,0,68,82,47,39,85,53,6'7'',62,62,2568,8.794743353,0.164387726
2009,RJ Cole,74,185,28,Trailblazers,PG,5,5,9,40,47,41,76,89,34,84,100,82,86,0,84,70,39,25,43,98,41,24,50,43,54,0,93,81,91,70,50,47,6'2'',68,68,3073,10.51,0.164165311
2011,Hakeem Olajuwon,84,270,31,Hawks,C,1,1,9,33,29,92,78,71,2,92,79,5,32,0,54,43,72,77,15,97,48,73,68,69,97,0,73,87,42,51,93,73,7'0'',74,73,3036,10.37289001,0.163998261
2010,George Mikan,85,265,36,Trailblazers,C,1,1,15,36,29,83,7,55,74,90,99,5,53,0,42,19,46,54,35,40,23,43,68,79,90,0,81,87,52,24,61,75,7'1'',64,60,2310,7.887334043,0.163892655
2010,Vince Carter,78,220,28,Hornets,SG,4,4,7,49,36,11,44,14,87,82,88,76,86,0,64,28,84,32,45,34,86,11,44,32,75,0,98,85,82,41,66,45,6'6'',69,68,3131,10.69,0.163883743
2009,DerMarr Johnson,81,205,25,Heat,SG,4,4,5,54,64,85,49,27,80,71,100,100,56,0,70,36,57,13,84,57,83,42,51,34,40,0,66,63,100,43,74,42,6'9'',65,69,2913,9.93,0.163625129
2009,Rick Fox,80,240,22,Hawks,SF,3,3,1,73,71,37,26,20,73,84,94,55,74,0,80,28,45,67,50,41,100,40,41,34,66,0,71,76,74,34,80,42,6'8'',61,65,2714,9.24,0.163419307
2009,Nick King,79,225,34,Knicks,SF,3,3,12,37,37,75,34,36,75,95,95,39,94,0,85,40,66,21,15,10,8,66,67,72,58,0,52,75,67,49,29,68,6'7'',57,53,2649,9.01,0.163261608
2010,Miles Bridges,79,230,30,Timberwolves,SG,4,4,10,49,44,99,59,9,0,83,96,72,5,0,76,46,68,35,56,53,31,49,54,52,100,0,59,79,84,55,61,61,6'7'',66,66,3113,10.58,0.163135239
2011,Rick Fox,80,245,24,Hawks,SF,3,3,3,53,64,37,26,20,73,84,95,62,74,0,77,30,43,65,51,44,100,46,37,37,68,0,70,77,78,35,81,42,6'8'',62,66,2374,8.051551231,0.162794633
2011,Larry Johnson,79,280,25,Hawks,SF,3,3,3,58,56,81,6,4,66,74,97,45,46,0,63,35,48,42,36,50,84,28,80,65,95,0,60,74,71,39,66,74,6'7'',61,64,3121,10.58207306,0.162748961
2012,Shawn Kemp,83,280,20,Pistons,PF,2,2,1,78,82,3,10,16,87,92,67,5,24,0,51,29,49,63,37,51,38,56,74,50,85,0,100,93,36,33,73,64,6'11'',63,69,2680,9.080320292,0.162632602
2011,Donnell Harvey,80,220,27,Bulls,PF,2,2,7,51,62,72,83,67,7,100,92,7,62,0,72,63,49,100,67,40,45,59,93,85,52,0,23,67,50,65,77,81,6'8'',65,66,2749,9.251844962,0.161545492
2011,Victor Oladipo,76,210,27,Pacers,PG,5,5,6,51,54,65,35,78,56,81,89,84,57,0,77,65,67,9,94,85,55,9,35,50,56,0,46,66,86,71,74,46,6'4'',69,69,2544,8.539511259,0.161122854
2008,Shareef O'Neal,80,210,26,Hornets,PF,2,2,8,45,64,44,58,23,3,98,74,5,77,0,57,15,35,87,32,76,33,67,60,83,78,0,36,75,40,20,84,72,6'8'',59,60,2125,7.12,0.160828235
2011,Kenyon Martin,82,235,29,Globetrotters,PF,2,2,7,51,43,44,6,30,74,100,63,5,14,0,55,29,47,92,34,62,27,52,46,65,84,0,79,91,34,34,79,60,6'10'',63,63,2515,8.418815026,0.160677185
2011,Zion Williamson,79,290,29,Heat,PF,2,2,11,44,28,66,84,25,86,97,87,28,66,0,24,32,73,66,23,29,30,78,89,84,76,0,72,85,58,37,72,84,6'7'',69,68,2986,9.964871705,0.16018548
2011,DeAndre Ayton,85,275,31,Clippers,C,1,1,11,40,47,43,30,45,43,90,76,35,45,0,46,25,73,100,28,45,59,74,83,93,77,0,51,76,56,35,88,86,7'1'',71,71,1190,3.962506015,0.159832175
2012,Walt Frazier,76,205,25,Pelicans,SG,4,4,3,52,50,92,76,64,46,72,90,46,46,0,65,27,26,24,76,46,25,14,54,44,97,0,69,76,68,28,37,55,6'4'',55,58,1254,4.15655771,0.159102687
2009,Jock Landale,84,260,33,Knicks,C,1,1,12,31,38,57,84,42,80,89,94,5,38,0,38,6,42,59,24,12,84,44,57,85,85,0,47,76,50,13,59,73,7'0'',58,57,1663,5.49,0.158460613
2009,Victor Oladipo,76,210,25,Pacers,PG,5,5,4,48,64,65,35,78,56,79,90,92,57,0,75,67,65,11,93,81,59,5,38,49,57,0,43,64,91,72,74,47,6'4'',70,75,3132,10.27,0.157394636
2008,DeAndre Ayton,85,275,28,Clippers,C,1,1,8,53,46,43,30,45,43,89,79,40,45,0,51,29,78,91,24,47,54,73,76,99,87,0,52,78,60,39,89,88,7'1'',73,73,2831,9.27,0.157174143
2012,Dino Radja,83,260,23,Pelicans,PF,2,2,1,41,48,75,91,23,97,99,59,5,56,0,45,36,52,55,32,45,29,27,60,53,82,0,51,81,32,39,56,60,6'11'',58,61,2005,6.559452006,0.157034262
2009,Marcus Taylor,75,195,23,Mavericks,PG,5,5,3,46,39,32,76,80,43,78,89,38,83,0,100,63,50,20,100,9,68,27,11,42,83,0,49,70,64,69,61,38,6'3'',64,66,2853,9.23,0.155289169
2009,Zion Williamson,79,290,27,Heat,PF,2,2,9,45,41,66,84,25,86,98,83,30,66,0,23,38,68,69,31,26,35,82,83,84,74,0,79,87,56,40,77,81,6'7'',69,69,2961,9.55,0.154812563
2010,Jock Landale,84,260,34,Knicks,C,1,1,13,31,37,57,84,42,80,85,90,5,38,0,34,7,42,58,20,9,84,44,59,82,81,0,46,73,48,13,56,72,7'0'',56,52,2366,7.589699269,0.153975302
2012,Kevin Knox,82,225,31,Trailblazers,SF,3,3,12,43,39,86,30,89,83,87,88,71,72,0,77,11,48,45,14,46,37,38,67,43,78,0,57,76,80,20,50,57,6'10'',57,56,2850,9.130848698,0.153782715
2008,Sam Bowie,85,240,29,Grizzlies,C,1,1,6,45,52,57,9,26,39,93,81,5,58,0,57,41,27,44,11,39,24,36,67,73,92,0,78,88,43,40,44,71,7'1'',57,57,2648,8.47,0.153534743
2011,Firsto Picko,82,245,34,Knicks,C,1,1,14,38,52,92,27,80,90,95,80,32,35,0,68,40,87,27,62,59,81,60,67,55,83,0,61,82,56,52,67,65,6'10'',62,59,2760,8.824452188,0.153468734
2011,Kenny Gattison,80,225,32,Warriors,PF,2,2,10,34,26,66,39,16,49,81,85,5,75,0,66,5,73,76,33,61,19,57,80,98,54,0,42,64,45,19,74,84,6'8'',61,60,1767,5.622246015,0.152726547
2011,Sam Perkins,81,240,32,Clippers,PF,2,2,9,34,52,87,33,70,2,88,98,60,57,0,74,14,53,45,22,67,36,21,62,98,66,0,81,81,79,24,52,78,6'9'',62,62,3134,9.933440638,0.152139486
2008,Zion Williamson,79,290,26,Heat,PF,2,2,8,52,52,66,84,25,86,96,81,31,66,0,25,40,67,67,34,28,30,83,81,79,73,0,81,87,56,41,77,78,6'7'',68,68,2650,8.395402031,0.152067659
2008,Tony Mitchell,81,240,24,Grizzlies,PF,2,2,3,69,71,93,35,29,97,99,90,5,83,0,42,24,67,98,23,5,15,69,87,95,53,0,20,66,48,32,60,84,6'9'',64,68,2504,7.93,0.15201278
2011,Morris Peterson,79,220,30,Pacers,SF,3,3,7,50,44,38,91,19,52,100,94,30,58,0,77,43,42,41,41,52,74,37,58,82,53,0,39,72,62,47,66,67,6'7'',57,57,2467,7.770201587,0.151183493
2012,Dazon Ingram,77,225,33,Globetrotters,SG,4,4,10,43,30,5,2,38,70,69,100,34,69,0,56,42,73,46,100,41,54,46,57,60,85,0,61,70,67,50,82,63,6'5'',62,61,2719,8.559439992,0.151104494
2010,Tony Mitchell,81,240,26,Grizzlies,PF,2,2,5,58,44,93,35,29,97,97,91,5,83,0,44,24,69,100,26,9,17,74,84,100,49,0,21,65,48,33,62,85,6'9'',64,64,2596,8.16,0.150878274
2010,LiAngelo Ball,78,230,31,Clippers,SG,4,4,10,43,43,12,31,35,9,88,91,74,33,0,92,43,84,20,54,11,99,7,60,50,53,0,25,62,82,56,57,56,6'6'',68,68,2909,9.12,0.150484703
2012,Penny Hardaway,79,205,21,Bullets,PG,5,5,0,81,91,13,2,98,57,66,95,78,89,0,86,63,67,20,53,41,42,5,17,24,44,0,56,59,86,70,48,27,6'7'',61,67,1636,5.10979709,0.149920697
2012,Kenny Satterfield,74,175,22,Hornets,PG,5,5,2,63,60,0,12,56,19,71,83,36,80,0,87,80,66,26,60,57,56,11,24,24,50,0,49,60,60,85,64,30,6'2'',60,63,1415,4.404268063,0.149402733
2009,Mark Price,72,180,30,SuperSonics,PG,5,5,8,42,40,18,55,37,8,46,97,72,5,0,100,52,91,9,76,69,75,25,14,5,61,0,30,44,84,67,86,21,6'0'',69,68,3069,9.55,0.149364614
2011,Zan Tabak,84,245,24,Nuggets,C,1,1,3,56,44,72,87,54,3,96,71,5,84,0,67,35,61,63,25,43,77,59,52,82,81,0,54,80,38,42,74,70,7'0'',64,67,2522,7.841665718,0.149246612
2011,DerMarr Johnson,81,205,27,Warriors,SG,4,4,7,47,56,85,49,27,80,75,100,99,56,0,70,40,62,9,85,59,88,53,49,30,41,0,71,67,100,47,77,40,6'9'',68,68,3176,9.848458914,0.148843208
2012,Michael Jordan,78,195,31,Pistons,SG,4,4,10,45,44,81,12,98,39,89,94,64,97,0,67,13,99,27,55,81,87,10,8,25,62,0,81,81,79,31,80,28,6'6'',68,68,3005,9.294377105,0.148462596
2009,Vince Carter,78,220,27,Hornets,SG,4,4,6,47,46,11,44,14,87,79,88,72,86,0,66,27,81,34,41,39,82,11,42,32,74,0,95,83,80,39,66,44,6'6'',67,67,3075,9.51,0.14844878
2008,RJ Cole,74,185,27,Trailblazers,PG,5,5,8,40,54,41,76,89,34,84,100,85,86,0,85,72,39,27,45,97,45,24,50,46,53,0,90,80,92,72,53,48,6'2'',69,69,2847,8.788381928,0.148170823
2011,Dazon Ingram,77,225,32,Globetrotters,SG,4,4,9,46,42,5,2,38,70,69,97,37,69,0,55,41,73,45,100,45,57,41,57,58,89,0,66,72,67,49,83,63,6'5'',63,63,1461,4.503544304,0.147960388
2012,Mark Price,72,180,33,Bullets,PG,5,5,11,32,53,18,55,37,8,59,100,73,5,0,94,45,84,5,68,64,69,22,9,7,58,0,27,49,86,59,76,19,6'0'',66,66,2976,9.169677544,0.147898025
2009,Stojko Vrankovic,86,260,29,Warriors,C,1,1,7,43,28,72,14,95,29,94,93,52,22,0,47,54,33,96,44,64,29,8,76,51,78,0,75,85,72,50,65,63,7'2'',62,61,2480,7.63,0.147677419
2008,Killian Tillie,82,205,29,Mavericks,SF,3,3,10,50,48,72,83,97,73,93,79,58,57,0,78,43,26,55,40,37,57,70,42,66,81,0,5,64,68,44,65,58,6'10'',59,59,2308,7.07,0.147036395
2010,Tacko Fall,90,300,34,Hornets,C,1,1,13,41,52,63,29,7,97,89,60,5,22,0,16,39,10,95,27,48,48,88,83,93,61,0,26,65,32,30,72,81,7'6'',61,58,2275,6.94,0.146426374
2011,De'Anthony Melton,76,190,30,Lakers,PG,5,5,8,47,54,17,44,10,69,72,92,41,60,0,79,88,88,38,99,80,99,25,28,50,53,0,68,67,66,95,100,45,6'4'',77,77,3042,9.268177346,0.14624343
2008,Frank Blazejowski,85,272,21,Magic,C,1,1,2,60,73,59,93,79,54,89,67,5,56,0,64,30,53,74,24,50,30,64,70,63,77,0,38,71,36,36,77,67,7'1'',62,66,2059,6.27,0.146168043
2010,De'Anthony Melton,76,190,29,Lakers,PG,5,5,7,48,48,17,44,10,69,70,91,46,60,0,83,86,86,34,100,81,100,21,29,50,53,0,67,66,68,94,100,45,6'4'',77,77,3155,9.58,0.145749604
2008,Markell Johnson,73,165,29,Clippers,PG,5,5,8,51,35,16,47,28,17,65,85,85,54,0,86,64,69,21,100,55,44,9,40,47,41,0,80,65,85,72,69,45,6'1'',67,66,2776,8.418141707,0.145558646
2008,Vince Carter,78,220,26,Hornets,SG,4,4,5,52,61,11,44,14,87,80,86,67,86,0,63,29,80,30,46,38,77,8,39,29,73,0,92,82,76,41,63,42,6'6'',65,66,2282,6.912892046,0.145407019
2010,Isaiah Canaan,73,185,27,Timberwolves,PG,5,5,5,50,48,48,90,30,44,72,88,83,80,0,77,75,60,26,75,18,78,38,5,50,50,0,25,54,86,79,70,35,6'1'',65,65,2725,8.25,0.145321101
2010,Donta Hall,81,245,31,Pacers,C,1,1,10,42,46,44,81,33,72,97,73,5,48,0,69,40,52,85,38,59,17,91,59,59,32,0,45,68,39,45,77,55,6'9'',61,61,2553,7.72,0.145146886
2011,Mitchell Robinson,83,245,30,Cavaliers,PF,2,2,9,42,57,79,12,64,1,78,81,5,34,0,65,22,60,74,50,33,11,89,78,41,73,0,73,76,43,31,84,60,6'11'',64,64,2778,8.396852543,0.145086005
2009,Isaac Bonga,81,210,29,Trailblazers,SF,3,3,10,48,32,86,15,69,34,100,98,78,86,0,74,93,42,40,70,50,83,45,62,63,57,0,29,70,88,89,76,61,6'9'',67,66,3182,9.61,0.144965431
2011,Kevin Knox,82,225,30,Warriors,SF,3,3,11,43,37,86,30,89,83,91,85,69,72,0,74,7,49,42,17,49,37,35,67,46,80,0,59,79,77,16,50,59,6'10'',57,56,1885,5.687682322,0.144832229
2012,Wes Unseld,79,255,24,Pelicans,PF,2,2,3,44,42,27,8,12,93,75,71,5,80,0,65,72,34,94,7,39,28,15,91,89,90,0,34,66,38,68,47,87,6'7'',56,59,2278,6.867962466,0.144715627
2011,Steve Stipanovich,85,245,27,Cavaliers,C,1,1,4,52,46,48,69,61,65,100,83,5,72,0,36,19,44,81,25,60,12,17,81,61,90,0,51,83,44,23,67,71,7'1'',63,63,2579,7.770059519,0.144615299
2009,Larry Hughes,78,185,25,SuperSonics,SG,4,4,6,46,57,3,15,89,53,81,80,54,16,0,99,80,76,28,77,59,64,53,50,37,72,0,14,59,67,89,81,49,6'6'',66,69,3240,9.76,0.144592593
2008,Larry Hughes,78,185,24,SuperSonics,SG,4,4,5,46,50,3,15,89,53,86,79,51,16,0,96,78,73,24,74,56,65,49,52,40,69,0,14,61,65,87,77,50,6'6'',65,68,2801,8.435863162,0.144563167
2008,Morris Peterson,79,220,27,Pacers,SF,3,3,4,59,79,38,91,19,52,100,91,36,58,0,80,44,43,47,44,57,73,33,61,76,58,0,42,74,64,48,72,66,6'7'',58,59,2672,8.018080076,0.144037367
2009,Sarunas Jasikevicius,76,202,29,Hornets,PG,5,5,6,49,36,6,77,29,41,58,83,75,96,0,92,65,71,18,78,47,74,13,14,15,48,0,41,51,79,73,75,22,6'4'',65,64,2703,8.11,0.144017758
2009,Dazon Ingram,77,225,30,Globetrotters,SG,4,4,7,45,65,5,2,38,70,74,97,43,69,0,61,39,73,46,99,44,61,40,55,56,94,0,65,75,70,47,84,62,6'5'',65,66,2460,7.37,0.143804878
2011,Peyton Gragg,79,220,33,Bullets,PF,2,2,13,40,62,59,36,22,85,94,96,60,82,0,69,45,45,45,47,45,33,63,28,97,67,0,49,75,78,48,64,66,6'7'',57,58,2317,6.936364713,0.143696809
2009,Mitchell Robinson,83,245,28,Hawks,PF,2,2,7,45,44,79,12,64,1,83,77,5,34,0,73,14,59,71,56,36,11,93,78,41,74,0,72,78,41,25,85,60,6'11'',65,65,2666,7.96,0.143315829
2011,Mark Price,72,180,32,Bullets,PG,5,5,10,36,50,18,55,37,8,63,100,73,5,0,96,49,91,5,72,69,72,25,12,5,61,0,28,52,86,64,81,20,6'0'',70,70,1305,3.891992283,0.143153739
2008,Jordan McLaughlin,73,170,32,Raptors,PG,5,5,10,49,38,80,62,24,71,47,91,66,85,0,86,100,66,63,58,34,75,38,43,30,45,0,44,46,78,100,74,39,6'1'',65,64,2687,8.012485478,0.143133347
2008,Skylar Diggins,69,145,24,Lakers,PG,5,5,2,59,73,65,0,16,68,73,99,59,5,0,82,91,50,18,80,58,100,5,19,39,56,0,34,58,79,91,74,35,5'9'',69,73,3136,9.347018795,0.143066614
2010,Peyton Gragg,79,220,32,Bullets,PF,2,2,12,40,60,59,36,22,85,96,94,61,82,0,68,45,44,48,48,45,35,63,28,96,67,0,51,77,78,48,66,65,6'7'',57,57,2433,7.221088933,0.142462914
2008,Isaac Bonga,81,210,28,Trailblazers,SF,3,3,9,52,31,86,15,69,34,100,95,78,86,0,78,89,44,42,73,46,83,47,60,59,55,0,31,70,86,87,76,58,6'9'',67,66,2973,8.719492677,0.140778893
2008,Sarunas Jasikevicius,76,202,28,Hornets,PG,5,5,5,48,44,6,77,29,41,54,85,71,96,0,93,70,71,23,79,45,71,11,14,18,48,0,40,49,78,79,75,24,6'4'',65,65,2203,6.455393313,0.140653145
2011,Max Zaslofsky,75,180,34,Bullets,PG,5,5,14,34,14,62,87,37,70,67,100,69,5,0,92,84,69,13,31,53,80,35,13,15,64,0,39,58,84,90,60,24,6'3'',66,60,2453,7.187311367,0.140640418
2008,Jalen Brunson,75,205,31,Hornets,PG,5,5,10,44,31,82,33,59,70,62,97,58,5,0,75,75,69,31,57,6,70,35,23,29,60,0,74,65,78,80,60,34,6'3'',61,60,2150,6.278052897,0.140161181
2011,Quentin Richardson,78,225,27,Magic,SG,4,4,7,45,50,30,62,61,19,69,100,75,71,0,64,22,68,43,87,80,53,23,54,39,54,0,57,62,88,32,86,48,6'6'',65,65,2890,8.430175628,0.140016758
2009,Markell Johnson,73,165,30,Clippers,PG,5,5,9,46,42,16,47,28,17,68,85,88,54,0,84,61,66,19,100,54,42,5,38,50,41,0,80,66,86,68,65,45,6'1'',66,66,2871,8.36,0.139770115
2010,Jake Tsakalidis,86,285,27,Lakers,C,1,1,6,49,67,22,55,43,56,98,73,5,37,0,53,23,82,74,57,42,26,60,84,70,58,0,55,77,39,36,71,74,7'2'',65,66,3033,8.827682469,0.139706152
2009,George Mikan,85,265,35,Trailblazers,C,1,1,14,40,42,83,7,55,74,94,100,5,53,0,42,21,49,55,33,38,22,48,69,83,93,0,84,91,52,27,62,78,7'1'',66,63,2791,8.12,0.139648871
2010,Markell Johnson,73,165,31,Clippers,PG,5,5,10,47,47,16,47,28,17,70,88,91,54,0,89,59,63,21,100,58,38,7,39,47,40,0,77,66,90,67,65,44,6'1'',67,67,2895,8.41,0.139440415
2012,Stacey Augmon,80,205,26,Hornets,SF,3,3,4,61,62,78,45,4,93,8,86,57,72,0,97,42,88,72,67,73,99,89,49,62,5,0,98,34,72,57,93,50,6'8'',61,62,1780,5.143925059,0.138712586
2008,Rui Hachimura,80,245,29,Spurs,SF,3,3,9,47,31,45,12,50,92,95,86,71,56,0,79,33,50,45,60,38,58,57,9,100,82,0,42,77,78,39,74,63,6'8'',65,64,3062,8.847496614,0.138693611
2008,Peyton Gragg,79,220,30,Nuggets,PF,2,2,10,49,60,59,36,22,85,91,89,58,82,0,74,43,49,42,51,46,37,63,28,100,69,0,55,76,74,47,67,68,6'7'',59,59,2378,6.85,0.138267452
2010,Larry Hughes,78,185,26,SuperSonics,SG,4,4,7,47,50,3,15,89,53,80,78,51,16,0,96,80,77,29,76,63,62,53,52,37,73,0,14,59,64,89,82,50,6'6'',65,65,2858,8.23,0.138222533
2008,DerMarr Johnson,81,200,24,Heat,SG,4,4,4,60,59,85,49,27,80,72,100,100,56,0,70,40,58,17,85,61,83,38,52,38,40,0,63,63,100,47,76,44,6'9'',66,69,3082,8.866718939,0.138092962
2010,Luke Maye,79,227,32,Clippers,SF,3,3,10,48,42,90,74,5,52,88,100,86,87,0,92,73,42,61,56,55,31,47,29,65,77,0,23,66,93,74,73,53,6'7'',66,66,3140,9.03,0.138038217
2008,Tito Maddox,76,190,23,Knicks,PG,5,5,2,61,66,53,27,4,16,46,89,44,17,0,83,66,65,19,92,14,100,11,14,47,65,0,42,49,66,72,69,39,6'4'',61,65,1770,5.083660394,0.137861977
2008,Jay Williams,74,200,23,Bucks,PG,5,5,2,55,72,55,33,66,22,86,80,100,28,0,90,62,62,35,75,50,79,16,33,49,78,0,32,68,90,69,80,48,6'2'',69,73,3085,8.841838998,0.137571563
2008,Marcus Taylor,75,195,22,Mavericks,PG,5,5,2,51,58,32,76,80,43,80,87,35,83,0,100,67,48,20,100,5,71,30,16,37,87,0,49,72,61,72,60,38,6'3'',64,67,2895,8.295968209,0.137549732
2009,Earl Monroe,75,185,23,Hawks,PG,5,5,0,85,98,82,48,100,72,71,90,59,34,0,94,93,74,29,62,62,32,8,41,34,36,0,46,56,74,100,60,39,6'3'',67,74,3140,8.97,0.137121019
2009,Tacko Fall,90,300,33,Hornets,C,1,1,12,41,64,63,29,7,97,89,58,5,22,0,20,38,10,94,32,47,50,84,79,93,61,0,27,65,32,29,72,79,7'6'',60,61,2171,6.2,0.137079687
